"","i"
"146","sk__Eukaryota, k__Metazoa, p__Chordata, c__Aves, o__Anseriformes, f__Anatidae, g__Anser"
"147","sk__Eukaryota, k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Hydridae, g__Hydra"
"148","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Brachionus"
"149","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella"
"150","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra"
"151","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta"
"152","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Cymbellales, f__Cymbellaceae, g__Encyonema"
"153","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Stephanodiscaceae, g__Stephanodiscus"
"154","sk__Eukaryota, k__unknown, p__unknown, c__Chrysophyceae, o__Chromulinales, f__Dinobryaceae, g__Dinobryon"
"155","sk__Eukaryota, k__unknown, p__unknown, c__Dinophyceae, o__Lophodiniales, f__Lophodiniaceae, g__Woloszynskia"
"156","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Lagenidiales, f__Lagenidiaceae, g__Lagenidium"
"157","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Peronosporales, f__Peronosporaceae, g__Phytophthora"
"158","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Pythiales, f__Pythiaceae, g__Pythium"
"159","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae, g__Aphanomyces"
"160","sk__Eukaryota, k__unknown, p__unknown, c__unknown, o__Himatismenida, f__Cochliopodiidae, g__Cochliopodium"
"161","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Chydoridae"
"162","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Branchiopoda, o__Diplostraca, f__Daphniidae"
"163","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Hexanauplia, o__Cyclopoida, f__Cyclopidae"
"164","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Coleoptera, f__Chrysomelidae"
"165","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera, f__Chironomidae"
"166","sk__Eukaryota, k__Metazoa, p__Chordata, c__Mammalia, o__Primates, f__Hominidae"
"167","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes, o__Saprolegniales, f__Saprolegniaceae"
"168","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Hexanauplia, o__Cyclopoida"
"169","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Diptera"
"170","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Insecta, o__Hymenoptera"
"171","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima"
"172","sk__Eukaryota, k__unknown, p__unknown, c__Chrysophyceae, o__Chromulinales"
"173","sk__Eukaryota, k__Fungi, p__Ascomycota, c__Sordariomycetes"
"174","sk__Eukaryota, k__unknown, p__unknown, c__Dinophyceae"
"175","sk__Eukaryota, k__unknown, p__unknown, c__Oomycetes"
"176","sk__Eukaryota, k__Metazoa"
"177","sk__Eukaryota"
"178","__unassigned"
